time,temperature,dew point,humidity,wind,wind speed,wind gust,pressure,precip.,condition
12:00 AM,51ʡF,50ʡF,97ʡ%,ESE,6ʡmph,0ʡmph,30.22ʡin,0.0ʡin,N/A
1:00 AM,50ʡF,50ʡF,99ʡ%,ESE,6ʡmph,0ʡmph,30.20ʡin,0.0ʡin,N/A
2:00 AM,50ʡF,50ʡF,99ʡ%,ESE,5ʡmph,0ʡmph,30.18ʡin,0.0ʡin,N/A
3:00 AM,48ʡF,48ʡF,99ʡ%,SE,3ʡmph,0ʡmph,30.16ʡin,0.0ʡin,N/A
4:00 AM,48ʡF,48ʡF,100ʡ%,CALM,0ʡmph,0ʡmph,30.16ʡin,0.0ʡin,N/A
5:00 AM,47ʡF,47ʡF,100ʡ%,N,3ʡmph,0ʡmph,30.15ʡin,0.0ʡin,N/A
6:00 AM,46ʡF,46ʡF,100ʡ%,CALM,0ʡmph,0ʡmph,30.17ʡin,0.0ʡin,N/A
7:00 AM,49ʡF,49ʡF,100ʡ%,N,5ʡmph,0ʡmph,30.19ʡin,0.0ʡin,N/A
8:00 AM,54ʡF,54ʡF,100ʡ%,NNE,3ʡmph,0ʡmph,30.20ʡin,0.0ʡin,N/A
9:00 AM,59ʡF,54ʡF,83ʡ%,ENE,3ʡmph,0ʡmph,30.21ʡin,0.0ʡin,N/A
10:00 AM,64ʡF,55ʡF,70ʡ%,NE,6ʡmph,0ʡmph,30.20ʡin,0.0ʡin,N/A
11:00 AM,67ʡF,55ʡF,67ʡ%,S,3ʡmph,0ʡmph,30.20ʡin,0.0ʡin,N/A
12:00 PM,67ʡF,57ʡF,70ʡ%,SSW,8ʡmph,0ʡmph,30.19ʡin,0.0ʡin,N/A
1:00 PM,69ʡF,57ʡF,66ʡ%,SSW,8ʡmph,0ʡmph,30.18ʡin,0.0ʡin,N/A
2:00 PM,69ʡF,55ʡF,59ʡ%,SSW,9ʡmph,0ʡmph,30.16ʡin,0.0ʡin,N/A
3:00 PM,70ʡF,55ʡF,59ʡ%,SSW,12ʡmph,0ʡmph,30.15ʡin,0.0ʡin,N/A
4:00 PM,70ʡF,51ʡF,51ʡ%,SSW,13ʡmph,0ʡmph,30.14ʡin,0.0ʡin,N/A
5:00 PM,71ʡF,61ʡF,70ʡ%,SSW,12ʡmph,0ʡmph,30.13ʡin,0.0ʡin,N/A
6:00 PM,69ʡF,58ʡF,67ʡ%,S,14ʡmph,0ʡmph,30.13ʡin,0.0ʡin,N/A
7:00 PM,66ʡF,56ʡF,68ʡ%,ESE,12ʡmph,0ʡmph,30.14ʡin,0.0ʡin,N/A
8:00 PM,63ʡF,55ʡF,77ʡ%,SE,9ʡmph,0ʡmph,30.16ʡin,0.0ʡin,N/A
9:00 PM,60ʡF,57ʡF,88ʡ%,SE,7ʡmph,0ʡmph,30.17ʡin,0.0ʡin,N/A
10:00 PM,58ʡF,58ʡF,100ʡ%,SE,6ʡmph,0ʡmph,30.19ʡin,0.0ʡin,N/A
11:00 PM,58ʡF,58ʡF,100ʡ%,S,6ʡmph,0ʡmph,30.18ʡin,0.0ʡin,N/A
